vt_symbol,orderid,tradeid,direction,offset,price,volume,time
IF888.CFFEX,120,120,Direction.LONG,Offset.CLOSE,3975.2,1,09:45:00
IF888.CFFEX,121,121,Direction.LONG,Offset.OPEN,3978.6,1,09:53:00
IF888.CFFEX,122,122,Direction.SHORT,Offset.CLOSE,3957.6,1,11:01:00
IF888.CFFEX,123,123,Direction.SHORT,Offset.OPEN,3960.0,1,11:02:00
IF888.CFFEX,124,124,Direction.LONG,Offset.CLOSE,3986.8,1,13:36:00
IF888.CFFEX,125,125,Direction.LONG,Offset.OPEN,3991.4,1,13:37:00
IF888.CFFEX,126,126,Direction.SHORT,Offset.CLOSE,3983.4,1,13:58:00
IF888.CFFEX,127,127,Direction.SHORT,Offset.OPEN,3990.2,1,13:59:00
IF888.CFFEX,128,128,Direction.LONG,Offset.CLOSE,3990.0,1,09:32:00
IF888.CFFEX,129,129,Direction.LONG,Offset.OPEN,3992.0,1,09:33:00
IF888.CFFEX,130,130,Direction.SHORT,Offset.CLOSE,3960.8,1,10:45:00
IF888.CFFEX,131,131,Direction.SHORT,Offset.OPEN,3960.6,1,10:48:00
IF888.CFFEX,132,132,Direction.LONG,Offset.CLOSE,3944.0,1,13:02:00
IF888.CFFEX,133,133,Direction.LONG,Offset.OPEN,3980.4,1,13:44:00
IF888.CFFEX,134,134,Direction.SHORT,Offset.CLOSE,3962.0,1,14:28:00
IF888.CFFEX,135,135,Direction.LONG,Offset.OPEN,3975.6,1,14:35:00
IF888.CFFEX,136,136,Direction.SHORT,Offset.CLOSE,3953.6,1,09:39:00
IF888.CFFEX,137,137,Direction.SHORT,Offset.OPEN,3955.4,1,09:40:00
IF888.CFFEX,138,138,Direction.LONG,Offset.CLOSE,3894.2,1,13:25:00
IF888.CFFEX,139,139,Direction.LONG,Offset.OPEN,3898.0,1,13:26:00
IF888.CFFEX,140,140,Direction.SHORT,Offset.CLOSE,3874.6,1,13:50:00
IF888.CFFEX,141,141,Direction.SHORT,Offset.OPEN,3867.6,1,13:54:00
IF888.CFFEX,142,142,Direction.LONG,Offset.CLOSE,3871.2,1,14:34:00
IF888.CFFEX,143,143,Direction.LONG,Offset.OPEN,3870.6,1,14:35:00
IF888.CFFEX,144,144,Direction.SHORT,Offset.CLOSE,3843.6,1,14:41:00
IF888.CFFEX,145,145,Direction.SHORT,Offset.OPEN,3842.0,1,14:42:00
IF888.CFFEX,146,146,Direction.LONG,Offset.CLOSE,3862.8,1,09:40:00
IF888.CFFEX,147,147,Direction.LONG,Offset.OPEN,3860.4,1,09:41:00
IF888.CFFEX,148,148,Direction.SHORT,Offset.CLOSE,3846.4,1,10:42:00
IF888.CFFEX,149,149,Direction.SHORT,Offset.OPEN,3843.4,1,10:43:00
IF888.CFFEX,150,150,Direction.LONG,Offset.CLOSE,3868.8,1,10:54:00
IF888.CFFEX,151,151,Direction.LONG,Offset.OPEN,3874.4,1,11:11:00
IF888.CFFEX,152,152,Direction.SHORT,Offset.CLOSE,3863.2,1,11:23:00
IF888.CFFEX,153,153,Direction.SHORT,Offset.OPEN,3865.0,1,11:24:00
IF888.CFFEX,154,154,Direction.LONG,Offset.CLOSE,3891.0,1,13:26:00
IF888.CFFEX,155,155,Direction.LONG,Offset.OPEN,3894.0,1,13:28:00
IF888.CFFEX,156,156,Direction.SHORT,Offset.CLOSE,3881.4,1,14:18:00
IF888.CFFEX,157,157,Direction.SHORT,Offset.OPEN,3866.0,1,14:40:00
